2026-01-29 18:56:57+0800 | INFO | app.backend | Backend application logger initialized
2026-01-29 18:56:57+0800 | WARNING | app.backend | Placeholder video exists but is very small (44 bytes).
2026-01-29 18:56:57+0800 | WARNING | app.backend |   Consider replacing it with a real video file.
2026-01-29 18:56:57+0800 | INFO | app.backend | Initializing database...
2026-01-29 18:58:25+0800 | INFO | app.backend | Backend application logger initialized
2026-01-29 18:58:25+0800 | WARNING | app.backend | Placeholder video exists but is very small (44 bytes).
2026-01-29 18:58:25+0800 | WARNING | app.backend |   Consider replacing it with a real video file.
2026-01-29 18:58:25+0800 | INFO | app.backend | Initializing database...
2026-01-29 18:58:25+0800 | ERROR | app.backend | Failed to initialize database. Please check database configuration.
2026-01-29 18:58:44+0800 | INFO | app.backend | Backend application logger initialized
2026-01-29 18:58:44+0800 | WARNING | app.backend | Placeholder video exists but is very small (44 bytes).
2026-01-29 18:58:44+0800 | WARNING | app.backend |   Consider replacing it with a real video file.
2026-01-29 18:58:44+0800 | INFO | app.backend | Initializing database...
2026-01-29 18:58:44+0800 | ERROR | app.backend | Failed to initialize database. Please check database configuration.
2026-01-29 23:12:18+0800 | INFO | app.backend | Backend application logger initialized
2026-01-29 23:12:18+0800 | WARNING | app.backend | Placeholder video exists but is very small (44 bytes).
2026-01-29 23:12:18+0800 | WARNING | app.backend |   Consider replacing it with a real video file.
2026-01-29 23:12:18+0800 | INFO | app.backend | Initializing database...
